id                                   | title                                                        | authors                                                      | doi                         | pub_date       | abstract_text                                               
f0d917ac-6f00-1014-8583-fc3cb2819008 | Sponges as bioindicators for microparticulate pollutants     | Elsa B. Girard, Adrian Fuchs, Melanie Kaliwoda, Markus La... | 10.1101/2020.05.26.116012   | May_2020       | Amongst other threats, the world’s oceans are faced with ...
5bf3acf5-6fcf-1014-95d7-d1d5139663bb | Structural decay of poly(ethylene terephthalate) by enzym... | Daisuke Tadokoro *, Tomoya Imai                              | 10.1101/2025.03.24.645130   | March_2025     | Synthetic polymers, such as plastics, are ubiquitous mate...
cf2fa68b-7247-1014-a942-b9a2cd71b45e | Construction of a Heterologous Pathway in  Escherichia co... | Tianyu Li, Nathan Crook *                                    | 10.1101/2025.02.25.640003   | March_2025     | Polyethylene terephthalate (PET) is extensively used in p...
c3241921-729f-1014-a181-890475ea44fd | Microplastics cross the murine intestine and induce infla... | Giulio Giustarini, Tim L.P. Skrabanja, Annemijne E.T. van... | 10.1101/2025.03.10.642492   | March_2025     | Microplastics are contaminating the environment but also ...
1c0e54c2-7894-1014-aeb0-c17840ee9cbd | Particulate Contamination of Human Placenta: Plastic and ... | Rewa Zurub, Shannon Bainbridge, Luna Rahman, Sabina Halap... | 10.1101/2024.03.01.583005   | March_2024     | Recent evidence indicates that the human womb is contamin...
750ea638-795e-1014-ba45-eb1845423d3c | Testing a Method for Quantifying Microplastic Content in ... | Ajeetesh S. Sidhu, William Sun, Mariam B. Helal, Aryaman ... | 10.1101/2024.03.04.583441   | March_2024     | With the proliferation of microplastics within the enviro...
ea3d425b-6c1b-1014-9fcb-92fcf9c50970 | The complexity of micro-and nanoplastic research in the g... | Julian Brehm, Sven Ritschar, Christian Laforsch, Magdalen... | 10.1101/2023.03.24.534107   | March_2023     | In recent years, the number of publications on nano-and m...
fba34eb5-6ffe-1014-b83f-8f4db5e0618b | Factors affecting zero-waste behaviors: Focusing on the h... | Eun-Hi Choi, Hyunjin Lee *, Mi-Jung Kang *, Inwoo Nam, Hu... | 10.1101/2022.03.04.22271923 | March_2022     | Microplastics harm human health. Therefore, the present s...
003f0873-6c63-1014-9b42-c9c4bbfdfa18 | ACCUMULATION OF MICROPLASTIC AND MICRORUBBER PARTICLES IN... | Stephanie B. LaPlaca, Peter van den Hurk *                   | 10.1101/2022.03.03.482888   | March_2022     | Stormwater ponds serve as best management practices to tr...
a7a9eac4-6d6a-1014-afeb-a296f7863081 | Spatiotemporal variations of surface water microplastics ... | Tsunefumi Kobayashi, Mitsuharu Yagi *, Toshiya Kawaguchi,... | 10.1101/2021.03.22.436354   | March_2021     | Microplastics in the ocean are threatening marine ecosyst...
1e9344e6-6ec8-1014-87ab-b4925f6054d3 | Lung organoids and microplastic fibers: a new exposure mo... | Anna Winkler *, Nadia Santo, Laura Madaschi, Alessandro C... | 10.1101/2021.03.07.434247   | March_2021     | Three-dimensional (3D) structured organoids are the most ...
673e8643-6f35-1014-b108-a18543767ee3 | Inhalable textile microplastic fibers impair lung repair     | F. van Dijk, S. Song, G.W.A van Eck, X. Wu, I.S.T. Bos, D... | 10.1101/2021.01.25.428144   | March_2021     | Synthetic textiles shed fibers that accumulate indoors an...
1b8a957f-6f76-1014-831c-929368600769 | Trophic transfer of microplastics enhances tissue accumul... | Takaaki Hasegawa, Kaoruko Mizukawa, Yeo Bee Geok, Tomonor... | 10.1101/2021.03.09.434685   | March_2021     | A variety of chemical additives are incorporated into pla...
ae9f3bb4-6f4c-1014-bd29-b7f862a63214 | Lung organoids and microplastic fibers: a new exposure mo... | Anna Winkler *, Nadia Santo, Laura Madaschi, Alessandro C... | 10.1101/2021.03.07.434247   | March_2021     | Three-dimensional (3D) structured organoids are the most ...
057621a7-700c-1014-a1d0-bbfdc168d9db | Plastic-Degrading Clusters of Orthologous Groups in Proka... | Shakira Mustari, Loan Tú Phạm, Kari Saikkonen, Miho Nakam... | 10.1101/2025.06.10.658834   | June_2025      | Microplastics and nanoplastics pollution (MNPP) is a majo...
122a4ffd-7e20-1014-8949-c5e02ac1934d | DEVELOPMENT AND VALIDATION OF A QUESTIONNAIRE ASSESSING P... | Pukovisa Prawiroharjo *, Agustino Zulys, Aldithya Fakhri,... | 10.1101/2025.06.23.660969   | June_2025      | Microplastics (MPs) have emerged as pervasive environment...
8d0483a8-6ef1-1014-9a8d-c64c0704b00d | Influence of geography, seasonality and experimental sele... | María Esther Nieto-Blázquez *, Cosima Caliendo, Laura C. ... | 10.1101/2025.06.04.657814   | June_2025      | Understanding recombination rates is crucial in evolution...
1b7e50db-6e4a-1014-8334-c2e2d54f69f0 | The effects of nano– and microplastic ingestion on the su... | Gabriella McConnel, Jordann Lawson, Jaclyn E. Cañas-Carre... | 10.1101/2023.06.23.546347   | June_2023      | Microplastics (MPs) and nanoplastics (NPs) are pervasive ...
9e99eeaf-6ef3-1014-bb4a-ee4a984b2945 | Effects of microplastics mixed with natural particles on ... | Christoph Schür, Joana Beck, Scott Lambert, Christian Sch... | 10.1101/2022.05.04.490562   | June_2023      | The toxicity of microplastics on  Daphnia magna  as a key...
ed2960b9-6d2a-1014-be96-d9797be9961d | Combined effects of P25 TiO 2  nanoparticles and disposab... | Soupam Das, Amitava Mukherjee *                              | 10.1101/2023.06.08.544143   | June_2023      | Disposable surgical masks have been extensively employed ...
e73d40eb-7185-1014-9f75-fbf22669781a | In Vivo Tissue Distribution of Microplastics and Systemic... | Marcus M. Garcia *, Aaron S. Romero, Seth D. Merkley, Jew... | 10.1101/2023.06.02.542598   | June_2023      | Global plastic use has consistently increased over the pa...
2cbb76ef-6e0f-1014-8cff-eecf85f3ff15 | Microplastics reduce the efficiency of the biological car... | Cordelia Roberts, Clara M. Flintrop, Alexander Khachikyan... | 10.1101/2023.06.23.545915   | June_2023      | Plastics are pervasive in marine ecosystems including at ...
733b1060-6c77-1014-8241-a9d7da458b94 | Effects of microplastic ingestion on hydrogen production ... | Linda Hink, Anja Holzinger, Tobias Sandfeld, Alfons R. We... | 10.1101/2022.06.22.497054   | June_2022      | Microplastic (MP) pollution is an environmental burden. M...
91ecb9a4-6ce5-1014-9a0f-9209437b7e07 | Supercharged Protein Nanosheets for Cell Expansion on Bio... | Alexandra Chrysanthou, Hassan Kanso, Wencheng Zhong, Li S... | 10.1101/2022.06.21.497058   | June_2022      | Cell culture at liquid-liquid interfaces, for example at ...
88c190f1-6fce-1014-b0dc-c55ff5f442c8 | Microplastic vector effects: are fish at risk when expose... | Agathe Bour *, Joachim Sturve, Johan Höjesjö, Bethanie Ca... | 10.1101/2019.12.17.879478   | June_2020      | In aquatic organisms, trophic transfer is a relevant expo...
782e6e09-704d-1014-abbe-e020854275c1 | Microplastics have shape- and polymer-dependent effects o... | Anika Lehmann *, Eva F. Leifheit, Maurice Gerdawischke, M... | 10.1101/2020.06.02.130054   | June_2020      | Microplastics are a diverse and ubiquitous contaminant, a...
006dc6f4-6c19-1014-84ea-d08b3e73bc6a | Microplastic ingestion by a herring  Opisthonema sp. , in... | Luis Bermúdez-Guzmán, Crista Alpízar-Villalobos, Johan Ga... | 10.1101/670679              | June_2019      | Despite there is a growing interest in studying the prese...
256ecd25-7338-1014-ae5b-9dc95d3ebccc | Construction of an MRCUT1 Cutinase-Expressing  Saccharomy... | Luisa Marie S. Jingco, Albert Derrick R. Recio, Addie Fra... | 10.1101/2025.07.16.665244   | July_2025      | Excessive use of plastics has led to an unprecedented glo...
ee6013a0-70f0-1014-bce1-d162e0ca1e2e | Health Impacts of Micro- and Nanoplastics in Humans: Syst... | Hien Anh Tran Anna, Daniel Hengyi Tang, Cai Ting Yong, Jo... | 10.1101/2025.07.10.25331209 | July_2025      | Microplastics and nanoplastics (MNPs; <5 mm) are pervasiv...
3ced3237-72af-1014-a032-f0151403a0f1 | Lifetime exposure to known and emerging groundwater conta... | Chamia C. Chatman, Elena G. Olson, Steven C. Ricke, Erica... | 10.1101/2025.07.12.664519   | July_2025      | The exposome encompasses all lifetime environmental expos...
a9a83720-6c7c-1014-8647-a8e69342c4f4 | DEVELOPMENT AND VALIDATION OF A QUESTIONNAIRE ASSESSING P... | Pukovisa Prawiroharjo *, Agustino Zulys, Aldithya Fakhri,... | 10.1101/2025.06.23.660969   | July_2025      | Microplastics (MPs) have emerged as pervasive environment...
761e26fc-7503-1014-b7ba-d8cb888d2033 | In vivo  exposure of mixed microplastic particles in mice... | Kyle Joohyung Kim, Marcus Garcia, Aaron S. Romero, Yan Ji... | 10.1101/2025.07.15.664901   | July_2025      | Microplastics (MPs) are emerging environmental contaminan...
b828cd2c-7338-1014-ad2a-a75fafd0a722 | Long-term exposure to microplastics and heat affects bumb... | Dong Sheng, Siyuan Jing, Marcel Balle, Thomas Cherico Wan... | 10.1101/2025.07.24.666509   | July_2025      | Pollinators are crucial for terrestrial ecosystems and gl...
